TITLE     = "Translation of CGNS file exomars3D_wall.cgns"
VARIABLES = "CoordinateX"
"CoordinateY"
"CoordinateZ"
ZONE T="project3"
 STRANDID=1, SOLUTIONTIME=3
 Nodes=10491, Elements=20978, ZONETYPE=FETriangle
 DATAPACKING=POINT
 AUXDATA CGNS.CGNSBase_t=""
 AUXDATA CGNS.Zone_t=""
 DT=(DOUBLE DOUBLE DOUBLE )
 0.000000000E+00 0.000000000E+00 0.000000000E+00
 1.871620059E+00 6.096200309E-07 0.000000000E+00
 7.314997492E-04 4.977441579E-02 3.673419846E-40
 5.269250367E-03 9.934838861E-02 3.673419846E-40
 1.330238860E-02 1.484775990E-01 3.673419846E-40
 2.408158220E-02 1.970733255E-01 3.673419846E-40
 3.726603463E-02 2.450848222E-01 3.673419846E-40
 5.229712650E-02 2.925484776E-01 3.673419846E-40
 6.861171126E-02 3.395892382E-01 3.673419846E-40
 8.553428203E-02 3.864147663E-01 3.673419846E-40
 1.027367339E-01 4.331388772E-01 3.673419846E-40
 1.197944432E-01 4.799160063E-01 3.673419846E-40
 1.368569136E-01 5.266914368E-01 3.673419846E-40
 1.539195329E-01 5.734667778E-01 3.673419846E-40
 1.709821075E-01 6.202421188E-01 3.673419846E-40
 1.880446821E-01 6.670175195E-01 3.673419846E-40
 2.051072419E-01 7.137928605E-01 3.673419846E-40
 2.221698016E-01 7.605682611E-01 3.673419846E-40
 2.392324358E-01 8.073436022E-01 3.673419846E-40
 2.562828064E-01 8.541234136E-01 3.673419846E-40
 2.733219564E-01 9.009073377E-01 3.673419846E-40
 2.903615236E-01 9.476910830E-01 3.673419846E-40
 3.074011207E-01 9.944748282E-01 3.673419846E-40
 3.244407177E-01 1.041258574E+00 3.673419846E-40
 3.414803445E-01 1.088042259E+00 3.673419846E-40
 3.585199416E-01 1.134826064E+00 3.673419846E-40
 3.755594790E-01 1.181609750E+00 3.673419846E-40
 3.925985098E-01 1.228393674E+00 3.673419846E-40
 4.096221924E-01 1.275183320E+00 3.673419846E-40
 4.266416132E-01 1.321974397E+00 3.673419846E-40
 4.436598122E-01 1.368765831E+00 3.673419846E-40
 4.606729746E-01 1.415559292E+00 3.673419846E-40
 4.776861072E-01 1.462352633E+00 3.673419846E-40
 4.946987033E-01 1.509146094E+00 3.673419846E-40
 5.117258430E-01 1.555933952E+00 3.673419846E-40
 5.287719369E-01 1.602715850E+00 3.673419846E-40
 5.462896824E-01 1.649313450E+00 3.673419846E-40
 5.782457590E-01 1.686551452E+00 3.673419846E-40
 6.254625916E-01 1.699979424E+00 3.673419846E-40
 6.721867323E-01 1.684677482E+00 3.673419846E-40
 7.073847055E-01 1.649610162E+00 3.673419846E-40
 7.413396835E-01 1.613194227E+00 3.673419846E-40
 7.752965689E-01 1.576780081E+00 3.673419846E-40
 8.092534542E-01 1.540365815E+00 3.673419846E-40
 8.432102799E-01 1.503951550E+00 3.673419846E-40
 8.771671653E-01 1.467537284E+00 3.673419846E-40
 9.111239314E-01 1.431123018E+00 3.673419846E-40
 9.450807571E-01 1.394708753E+00 3.673419846E-40
 9.790375829E-01 1.358294368E+00 3.673419846E-40
 1.012994409E+00 1.321880102E+00 3.673419846E-40
 1.046951294E+00 1.285465837E+00 3.673419846E-40
 1.080908060E+00 1.249051571E+00 3.673419846E-40
