TITLE     = "Translation of CGNS file Paraboloid_Tube_Volume_3.cgns"
VARIABLES = "CoordinateX"
"CoordinateY"
"CoordinateZ"
ZONE T="Paraboloid_Part0"
 STRANDID=1, SOLUTIONTIME=3
 Nodes=4921, Elements=22647, ZONETYPE=FETetrahedron
 DATAPACKING=POINT
 AUXDATA CGNS.CGNSBase_t=""
 AUXDATA CGNS.Zone_t=""
 DT=(DOUBLE DOUBLE DOUBLE )
 -3.406334532E-02 -3.396025352E-02 2.314824733E-02
 -3.303588005E-02 -4.544675078E-02 3.160976360E-02
 -2.146876399E-02 -3.664594354E-02 1.804621348E-02
 -7.409290794E-03 -5.508352255E-02 3.093086920E-02
 -2.111607468E-02 -5.169773905E-02 3.122632597E-02
 -1.476999651E-02 -4.634259750E-02 2.367130815E-02
 -7.891888120E-03 -3.979123470E-02 1.646502293E-02
 -4.096327431E-02 -4.714718748E-02 1.293008878E-01
 -1.173553532E-02 -6.134430977E-02 9.641058702E-02
 -8.481526033E-03 -6.187819362E-02 9.025358065E-02
 -1.095945078E-02 -6.148770258E-02 1.332261868E-01
 -8.953170187E-03 -6.181171308E-02 1.270830271E-01
 -1.300976758E-02 -6.108676679E-02 1.210367848E-01
 -7.164609385E-03 -6.204446391E-02 1.209736363E-01
 -1.876399195E-02 -5.957146747E-02 1.210939091E-01
 -1.703602788E-02 -6.008844218E-02 1.149845183E-01
 -2.047074511E-02 -5.900674304E-02 1.276832659E-01
 -2.434247697E-02 -5.751774461E-02 1.216309994E-01
 -9.442902738E-03 -6.173879427E-02 1.088115510E-01
 -1.528475052E-02 -6.055760507E-02 1.087554742E-01
 -1.351114260E-02 -6.097783331E-02 1.026396311E-01
 -2.097829289E-02 -5.882821056E-02 1.088125984E-01
 -1.752934274E-02 -5.994638666E-02 9.635451022E-02
 -3.042349408E-02 -5.454592687E-02 4.542172503E-02
 -3.633940366E-02 -5.079660295E-02 4.542172503E-02
 -2.412499141E-02 -5.760930410E-02 4.542172503E-02
 -2.753505042E-02 -5.605950525E-02 5.180797376E-02
 -1.752310297E-02 -5.994821092E-02 4.542172503E-02
 -2.457154397E-02 -5.742026086E-02 5.819422248E-02
 -3.084607269E-02 -5.430807426E-02 5.819422248E-02
 -1.070085135E-02 -6.153323419E-02 4.542172503E-02
 -1.437027575E-02 -6.078110154E-02 5.180797376E-02
 -1.117827399E-02 -6.144829795E-02 5.819422248E-02
 -1.798801384E-02 -5.981035436E-02 5.819422248E-02
 -7.857507511E-03 -6.196052538E-02 6.452796554E-02
 -2.154105350E-02 -5.862448417E-02 6.458047121E-02
 -1.845184037E-02 -5.966889237E-02 7.096671994E-02
 -2.501661534E-02 -5.722775626E-02 7.096671994E-02
 -1.151544847E-02 -6.138600473E-02 7.093276396E-02
 -1.517458211E-02 -6.058530505E-02 7.731901268E-02
 -1.199170347E-02 -6.129474837E-02 8.370526141E-02
 -1.891455460E-02 -5.952383350E-02 8.373921739E-02
 -3.180526304E-02 -5.375195227E-02 1.305367772E-01
 -3.580099194E-02 -5.117749609E-02 1.266241541E-01
 -3.023168302E-02 -5.465246995E-02 1.243077331E-01
 -3.957754262E-02 -4.831630419E-02 1.230718437E-01
 -2.864620663E-02 -5.549992771E-02 1.177183762E-01
 -4.312633083E-02 -4.517705965E-02 1.195195332E-01
